"","drug","model.id","response_type","value"
"477","BMN673","M15.1.F46","best.average.response","17.1790"
"478","BMN673","M15.1.F46","slope","87.2606"
"479","BMN673","M15.1.F46","AUC","493.9953"
"480","BMN673","M15.1.F46","survival","40.0000"
"481","CFI-402257","M25.1.F46","mRECIST","PD"
"482","CFI-402257","M25.1.F46","best.average.response","193.9750"
"483","CFI-402257","M25.1.F46","slope","88.6021"
"484","CFI-402257","M25.1.F46","AUC","585.0748"
"485","CFI-402257","M25.1.F46","survival","19.0000"
"486","TAXOL","M35.1.F46","mRECIST","PD"
"487","TAXOL","M35.1.F46","best.average.response","34.8783"
"488","TAXOL","M35.1.F46","slope","35.4507"
