"","model.id","biobase.id","mDataType"
"X5E341","M5.1.F408","82577","RNASeq"
"X5E342","M5.1.F409","REF005","RNASeq"
"X15E205","M15.1.F409","REF005","RNASeq"
"X5E343","M5.1.F410","73230","RNASeq"
"X6E16","M6.2.F410","73230","RNASeq"
"X15E206","M15.1.F410","73230","RNASeq"
"X16E13","M16.2.F410","73230","RNASeq"
"X17E3","M17.3.F410","73230","RNASeq"
"X5E344","M5.1.F411","71335","RNASeq"
"X15E207","M15.1.F411","71335","RNASeq"
"X25E91","M25.1.F411","71335","RNASeq"
"X35E54","M35.1.F411","71335","RNASeq"
"X45E27","M45.1.F411","71335","RNASeq"
"X5E345","M5.1.F412","69196","RNASeq"
"X5E347","M5.1.F414","REF014","RNASeq"
"X15E209","M15.1.F414","REF014","RNASeq"
"X35E55","M35.1.F414","REF014","RNASeq"
"X45E28","M45.1.F414","REF014","RNASeq"
"X55E8","M55.1.F414","REF014","RNASeq"
