"","batch.id","response_type","value"
"253","REF014BL.ERIBULIN","angle","89.8662"
"254","REF014BL.ERIBULIN","abc","104.6300"
"255","REF014BL.ERIBULIN","TGI","-16.4931"
"256","REF014BL.CDX-011","angle","-1.2892"
"257","REF014BL.CDX-011","abc","-54.2825"
"258","REF014BL.CDX-011","TGI","1.4067"
"259","REF014BL.TAXOL","angle","22.8789"
"260","REF014BL.TAXOL","abc","26.3180"
"261","REF014BL.TAXOL","TGI","-4.0132"
"262","REF014BL.EVEROLIMUS","angle","1.2785"
"263","REF014BL.EVEROLIMUS","abc","-4.4356"
"264","REF014BL.EVEROLIMUS","TGI","-22.4294"
"265","REF014BL.CFI-400945","angle","51.4897"
"266","REF014BL.CFI-400945","abc","16.1711"
"267","REF014BL.CFI-400945","TGI","-2.7329"
"268","REF001.CARBOPLATIN","angle","82.3994"
"269","REF001.CARBOPLATIN","abc","182.7481"
"270","REF001.CARBOPLATIN","TGI","177.4595"
"271","REF001.CX5461","angle","25.7198"
"272","REF001.CX5461","abc","544.7943"
"273","REF001.CX5461","TGI","29.9104"
"274","REF001.ABT263","angle","NA"
"275","REF001.ABT263","abc","NA"
"276","REF001.ABT263","TGI","NA"
"277","REF001.CFI-402257","angle","4.6486"
"278","REF001.CFI-402257","abc","75.4274"
"279","REF001.CFI-402257","TGI","-16438.3604"
"280","REF001.CFI-400945+ABT263","angle","NA"
"281","REF001.CFI-400945+ABT263","abc","NA"
"282","REF001.CFI-400945+ABT263","TGI","NA"
"283","NOTCHB01.BMN673","angle","3.9692"
"284","NOTCHB01.BMN673","abc","160.8710"
"285","NOTCHB01.BMN673","TGI","12.1236"
"286","NOTCHB01.TAXOL","angle","1.2965"
"287","NOTCHB01.TAXOL","abc","92.1400"
"288","NOTCHB01.TAXOL","TGI","10.8876"
"289","NOTCHB01.ERIBULIN","angle","1.6956"
"290","NOTCHB01.ERIBULIN","abc","95.9297"
"291","NOTCHB01.ERIBULIN","TGI","12.0299"
"292","NOTCHB01.CFI-400945","angle","7.4016"
"293","NOTCHB01.CFI-400945","abc","235.6860"
"294","NOTCHB01.CFI-400945","TGI","-19.2663"
"295","NOTCHB01.TAXOL + CFI-402257","angle","2.7328"
"296","NOTCHB01.TAXOL + CFI-402257","abc","128.6250"
"297","NOTCHB01.TAXOL + CFI-402257","TGI","6.2925"
"298","NOTCHB01.CARBOPLATIN","angle","9.3357"
"299","NOTCHB01.CARBOPLATIN","abc","256.8019"
"300","NOTCHB01.CARBOPLATIN","TGI","7.4586"
"301","NOTCHB01.CX5461","angle","6.6488"
"302","NOTCHB01.CX5461","abc","247.5577"
"303","NOTCHB01.CX5461","TGI","110.2113"
"304","NOTCHB01.CDX-011","angle","3.6553"
"305","NOTCHB01.CDX-011","abc","76.5014"
"306","NOTCHB01.CDX-011","TGI","-16.8364"
"307","70620.TAXOL + CFI-402257","angle","67.3882"
"308","70620.TAXOL + CFI-402257","abc","345.6000"
"309","70620.TAXOL + CFI-402257","TGI","-209.9867"
"310","70620.TAXOL","angle","-2.0081"
"311","70620.TAXOL","abc","-55.2452"
"312","70620.TAXOL","TGI","-91.3678"
"313","70620.ERIBULIN","angle","151.2959"
"314","70620.ERIBULIN","abc","338.8454"
"315","70620.ERIBULIN","TGI","-16.6292"
"316","70620.ABT263","angle","NA"
"317","70620.ABT263","abc","NA"
"318","70620.ABT263","TGI","NA"
"319","70620.CFI-402257","angle","15.2847"
"320","70620.CFI-402257","abc","420.0439"
"321","70620.CFI-402257","TGI","311.9320"
"322","70620.CX5461","angle","62.2848"
"323","70620.CX5461","abc","391.7499"
"324","70620.CX5461","TGI","35.6495"
"325","241417.BMN673","angle","46.4151"
"326","241417.BMN673","abc","283.6807"
"327","241417.BMN673","TGI","-194.4860"
"328","241417.TAXOL","angle","150.0708"
"329","241417.TAXOL","abc","402.3798"
"330","241417.TAXOL","TGI","38.0283"
"331","241417.ERIBULIN","angle","62.3122"
"332","241417.ERIBULIN","abc","321.7970"
"333","241417.ERIBULIN","TGI","41.2075"
"334","241417.TAXOL + CFI-402257","angle","146.3023"
"335","241417.TAXOL + CFI-402257","abc","353.3563"
"336","241417.TAXOL + CFI-402257","TGI","77.0393"
"337","241417.CX5461","angle","11.3658"
"338","241417.CX5461","abc","103.0996"
"339","241417.CX5461","TGI","-2.0902"
"340","241417.CARBOPLATIN","angle","2.7050"
"341","241417.CARBOPLATIN","abc","80.2592"
"342","241417.CARBOPLATIN","TGI","-3.7753"
"343","241417.CFI-402257","angle","24.4219"
"344","241417.CFI-402257","abc","263.9846"
"345","241417.CFI-402257","TGI","-99.8685"
"346","241417.CFI-400945","angle","31.6922"
"347","241417.CFI-400945","abc","293.4926"
"348","241417.CFI-400945","TGI","21.5594"
"349","241417.CDX-011","angle","143.4117"
"350","241417.CDX-011","abc","283.6767"
"351","241417.CDX-011","TGI","-19.3875"
"352","241417.EVEROLIMUS","angle","141.8235"
"353","241417.EVEROLIMUS","abc","371.1499"
"354","241417.EVEROLIMUS","TGI","23.8306"
"355","NOTCHB02.CX5461","angle","3.4252"
"356","NOTCHB02.CX5461","abc","30.5688"
"357","NOTCHB02.CX5461","TGI","-0.4370"
"358","NOTCHB02.CFI-402257","angle","0.9021"
"359","NOTCHB02.CFI-402257","abc","-64.1745"
"360","NOTCHB02.CFI-402257","TGI","2.5587"
"361","NOTCHB02.TAXOL","angle","-9.1905"
"362","NOTCHB02.TAXOL","abc","-14.5200"
"363","NOTCHB02.TAXOL","TGI","-0.6285"
"364","NOTCHB02.ERIBULIN","angle","14.8021"
"365","NOTCHB02.ERIBULIN","abc","19.2422"
"366","NOTCHB02.ERIBULIN","TGI","12.0473"
"367","NOTCHB02.CDX-011","angle","122.7460"
"368","NOTCHB02.CDX-011","abc","85.7791"
"369","NOTCHB02.CDX-011","TGI","-14.2661"
"370","NOTCHB02.CFI-400945","angle","84.7100"
"371","NOTCHB02.CFI-400945","abc","87.0372"
"372","NOTCHB02.CFI-400945","TGI","3.6120"
"373","NOTCHB02.TAXOL + CFI-402257","angle","2.6385"
"374","NOTCHB02.TAXOL + CFI-402257","abc","56.5065"
"375","NOTCHB02.TAXOL + CFI-402257","TGI","0.6691"
"376","71335.CFI-400945","angle","7.4097"
"377","71335.CFI-400945","abc","407.1112"
"378","71335.CFI-400945","TGI","24.8958"
"379","71335.TAXOL","angle","0.2525"
"380","71335.TAXOL","abc","174.1484"
"381","71335.TAXOL","TGI","1.3832"
"382","71335.CFI-402257","angle","1.2756"
"383","71335.CFI-402257","abc","395.5441"
"384","71335.CFI-402257","TGI","4.0130"
"385","71335.BMN673","angle","0.6506"
"386","71335.BMN673","abc","-43.3634"
"387","71335.BMN673","TGI","2.3347"
"388","71335.ERIBULIN","angle","-0.4801"
"389","71335.ERIBULIN","abc","-254.0703"
"390","71335.ERIBULIN","TGI","6.0326"
"391","71335.TAXOL + CFI-402257","angle","0.7858"
"392","71335.TAXOL + CFI-402257","abc","252.4373"
"393","71335.TAXOL + CFI-402257","TGI","6.2115"
"394","85277.CFI-402257","angle","21.8182"
"395","85277.CFI-402257","abc","271.7184"
"396","85277.CFI-402257","TGI","-15.4641"
"397","85277.CFI-400945","angle","24.0341"
"398","85277.CFI-400945","abc","246.7793"
"399","85277.CFI-400945","TGI","-5.2495"
"400","85277.EVEROLIMUS","angle","87.9756"
"401","85277.EVEROLIMUS","abc","146.3057"
"402","85277.EVEROLIMUS","TGI","-8.6597"
"403","85277.BMN673","angle","-1.0753"
"404","85277.BMN673","abc","-119.2788"
"405","85277.BMN673","TGI","4.7591"
"406","85277.TAXOL","angle","50.9697"
"407","85277.TAXOL","abc","379.9617"
"408","85277.TAXOL","TGI","33.9454"
"409","85277.CFI-400945+ABT263","angle","NA"
"410","85277.CFI-400945+ABT263","abc","NA"
"411","85277.CFI-400945+ABT263","TGI","NA"
"412","85277.ERIBULIN","angle","157.3023"
"413","85277.ERIBULIN","abc","479.5949"
"414","85277.ERIBULIN","TGI","-43.6581"
"415","85277.CX5461","angle","29.4635"
"416","85277.CX5461","abc","286.4119"
"417","85277.CX5461","TGI","-9.1921"
"418","85277.CDX-011","angle","-2.7120"
