id,batch_id,response_type,value
583,195,angle,-24.8912
584,195,abc,-204.5930
585,195,TGI,4.1333
586,196,angle,-13.3703
587,196,abc,-183.7853
588,196,TGI,1.2968
589,197,angle,-5.2413
590,197,abc,-90.7363
591,197,TGI,1.4653
592,198,angle,-56.5484
593,198,abc,-485.5886
594,198,TGI,7.2996
595,199,angle,15.4326
596,199,abc,-108.6395
597,199,TGI,0.5365
598,200,angle,-18.4478
599,200,abc,-193.9047
600,200,TGI,2.5054
601,201,angle,-95.0059
602,201,abc,-656.6217
603,201,TGI,9.2496
604,202,angle,-26.0544
605,202,abc,-381.5686
606,202,TGI,4.3638
607,203,angle,-57.0583
608,203,abc,-482.8949
609,203,TGI,10.4197
610,204,angle,-23.7533
611,204,abc,-244.0935
612,204,TGI,6.1533
613,205,angle,-94.8038
614,205,abc,-375.1179
615,205,TGI,7.2278
616,206,angle,-18.5378
617,206,abc,-162.8488
618,206,TGI,2.7859
619,207,angle,-55.7194
620,207,abc,-447.3702
621,207,TGI,5.4146
622,208,angle,-82.4499
623,208,abc,-190.6676
624,208,TGI,3.8758
625,209,angle,-93.6581
626,209,abc,-412.6761
627,209,TGI,4.6468
628,210,angle,-56.9123
629,210,abc,-526.6744
630,210,TGI,6.6769
631,211,angle,-56.2819
632,211,abc,-459.3212
633,211,TGI,6.9131
634,212,angle,NA
635,212,abc,NA
636,212,TGI,NA
637,213,angle,NA
638,213,abc,NA
639,213,TGI,NA
640,214,angle,NA
641,214,abc,NA
642,214,TGI,NA
643,215,angle,NA
644,215,abc,NA
645,215,TGI,NA
646,216,angle,NA
647,216,abc,NA
648,216,TGI,NA
649,217,angle,NA
650,217,abc,NA
651,217,TGI,NA
652,218,angle,NA
653,218,abc,NA
654,218,TGI,NA
655,219,angle,NA
656,219,abc,NA
657,219,TGI,NA
658,220,angle,NA
659,220,abc,NA
660,220,TGI,NA
661,221,angle,NA
662,221,abc,NA
663,221,TGI,NA
664,222,angle,NA
665,222,abc,NA
666,222,TGI,NA
667,223,angle,NA
668,223,abc,NA
669,223,TGI,NA
670,224,angle,NA
671,224,abc,NA
672,224,TGI,NA
673,225,angle,NA
674,225,abc,NA
675,225,TGI,NA
676,226,angle,NA
677,226,abc,NA
678,226,TGI,NA
679,227,angle,NA
680,227,abc,NA
681,227,TGI,NA
682,228,angle,NA
683,228,abc,NA
684,228,TGI,NA
685,229,angle,NA
686,229,abc,NA
687,229,TGI,NA
688,230,angle,NA
689,230,abc,NA
690,230,TGI,NA
691,231,angle,NA
692,231,abc,NA
693,231,TGI,NA
694,232,angle,NA
695,232,abc,NA
696,232,TGI,NA
697,233,angle,NA
698,233,abc,NA
699,233,TGI,NA
700,234,angle,NA
701,234,abc,NA
702,234,TGI,NA
703,235,angle,NA
704,235,abc,NA
705,235,TGI,NA
706,236,angle,NA
707,236,abc,NA
708,236,TGI,NA
709,237,angle,NA
710,237,abc,NA
711,237,TGI,NA
712,238,angle,NA
713,238,abc,NA
714,238,TGI,NA
715,239,angle,NA
716,239,abc,NA
717,239,TGI,NA
718,240,angle,NA
719,240,abc,NA
720,240,TGI,NA
721,241,angle,NA
722,241,abc,NA
723,241,TGI,NA
724,242,angle,NA
725,242,abc,NA
726,242,TGI,NA
727,243,angle,NA
728,243,abc,NA
729,243,TGI,NA
730,244,angle,NA
731,244,abc,NA
732,244,TGI,NA
733,245,angle,NA
734,245,abc,NA
735,245,TGI,NA
736,246,angle,NA
737,246,abc,NA
738,246,TGI,NA
739,247,angle,NA
740,247,abc,NA
741,247,TGI,NA
742,248,angle,-1.6251
743,248,abc,-70.1670
744,248,TGI,7.8315
745,249,angle,5.1484
746,249,abc,63.9679
747,249,TGI,-3.9875
748,250,angle,4.8825
749,250,abc,20.4897
750,250,TGI,-3.8919
751,251,angle,17.2920
752,251,abc,109.3594
753,251,TGI,-4.2239
754,252,angle,-0.5911
755,252,abc,-57.7476
756,252,TGI,4.3717
757,253,angle,-0.5740
758,253,abc,-158.7032
759,253,TGI,-165.5185
760,254,angle,1.5617
761,254,abc,87.7918
762,254,TGI,1.1911
763,255,angle,-3.4372
764,255,abc,-346.5516
765,255,TGI,16.4848
766,256,angle,-2.7856
767,256,abc,-149.8457
768,256,TGI,-541.6429
769,257,angle,-3.3257
770,257,abc,-173.7123
771,257,TGI,-50.1135
772,258,angle,13.7250
773,258,abc,155.4429
774,258,TGI,38.2119
775,259,angle,-2.2070
776,259,abc,-396.7783
777,259,TGI,15.6844
778,260,angle,10.8429
779,260,abc,183.9142
780,260,TGI,-98.0909
781,261,angle,152.4124
782,261,abc,308.9794
783,261,TGI,-60.0319
784,262,angle,-2.1827
785,262,abc,-411.9500
786,262,TGI,10.7949
787,263,angle,-1.1117
788,263,abc,-197.5913
789,263,TGI,9.2335
790,264,angle,26.6617
791,264,abc,114.2840
792,264,TGI,-9.2631
793,265,angle,-4.0221
