model_id,model
1257,X.028.fiab
1258,X.028.HD01
1259,X.028.HS90
1260,X.028.IN80
1261,X.028.IN80.trab
1262,X.028.LE11
1263,X.028.LE11.evus
1264,X.028.LJ16
1265,X.028.LJ16.trab
1266,X.028.LL71
1267,X.028.trab
1268,X.029.BG98
1269,X.029.biib
1270,X.029.BK20
1271,X.029.BY19
1272,X.029.BY19.HS90
1273,X.029.BY19.LJ16
1274,X.029.CL57
1275,X.029.evus
1276,X.029.fiab
1277,X.029.HD01
1278,X.029.HS90
1279,X.029.IN80
1280,X.029.IN80.trab
1281,X.029.LE11
1282,X.029.LJ16.trab
1283,X.029.LL71
1284,X.029.trab
1285,X.031.BG98
1286,X.031.biib
1287,X.031.BK20
1288,X.031.BY19
1289,X.031.BY19.HS90
1290,X.031.CL57
1291,X.031.evus
1292,X.031.fiab
1293,X.031.HD01
1294,X.031.HS90
1295,X.031.IN80
1296,X.031.IN80.trab
1297,X.031.LE11
1298,X.031.LE11.evus
1299,X.031.LJ16
1300,X.031.LJ16.trab
1301,X.031.LL71
1302,X.031.trab
1303,X.031.uned
1304,X.034.BG98
1305,X.034.biib
1306,X.034.BK20
1307,X.034.BY19
1308,X.034.BY19.HS90
1309,X.034.BY19.LJ16
1310,X.034.CL57
1311,X.034.evus
1312,X.034.fiab
1313,X.034.HD01
